"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","EDU_LFS_STATUS","Education and labour force status","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.60648799,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.74285716,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.16777612,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.21045588,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_E_WS","Work-study programme","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.27373856,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",21.736149,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",25.358213,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",18.6824,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",24.940313,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",30.159178,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",20.323307,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",18.492706,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",18.392101,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",18.628571,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.80172801,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.0501534,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_E_OTH","Other employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.2411612,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",45.674873,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",46.434521,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",45.034416,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",16.539925,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",17.424885,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",15.75702,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",8.922204,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",9.2242594,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",8.514286,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.58866864,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.78437114,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_U_I","Unemployed or Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.88971967,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",40.629524,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",40.086639,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",41.087231,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",13.250508,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",14.420269,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",12.215649,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",7.6012964,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",8.0394926,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",7.0095239,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.54727465,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.73703128,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_I","Inactive","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.81389046,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",5.0453472,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",6.3478842,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",3.9471836,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",3.2894156,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",3.0046153,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",3.5413716,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.3209076,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.1847672,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.5047619,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.23576394,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.29329145,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","ED_U","Unemployed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.3881003,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",28.778294,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",26.807732,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",30.439669,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",54.120613,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",50.155411,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",57.628532,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",71.920586,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",71.777153,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",72.114288,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.92800266,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.220013,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","NE","Not in education","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.4295653,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",14.366283,,
"AUS","Australia","L0T2","Below upper secondary education","F","Women","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",9.3468847,,
"AUS","Australia","L0T2","Below upper secondary education","M","Men","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",18.598118,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",42.846405,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",36.997269,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",48.021,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",63.679092,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",60.719322,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2016","2016",67.676193,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",0.9931283,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y15T29","15-29 years","NE_E","Employed","TRANS_SHARE_EDULABOUR","Share of population by education and labour force status","SE","SE","9999","Latest available year","PC","Percentage","0","Units","2016","2016",1.3238046,,
