"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"AUT","Austria","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.917,,
"AUT","Austria","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.035,,
"AUT","Austria","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.544,,
"AUT","Austria","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.842,,
"AUT","Austria","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.385,,
"AUT","Austria","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.535,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.952,,
"AUT","Austria","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",10.411,,
"BEL","Belgium","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"BEL","Belgium","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.78,,
"BEL","Belgium","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.625,,
"BEL","Belgium","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.403,"w","Includes data from another category"
"BEL","Belgium","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"BEL","Belgium","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.073,,
"BEL","Belgium","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.563,,
"BEL","Belgium","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.636,,
"BEL","Belgium","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.947,,
"BEL","Belgium","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.403,,
"BEL","Belgium","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",11.957,,
"CAN","Canada","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"CAN","Canada","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",5.195,"w","Includes data from another category"
"CAN","Canada","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"CAN","Canada","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.629,,
"CAN","Canada","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"CAN","Canada","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.553,,
"CAN","Canada","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.057,,
"CAN","Canada","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.61,,
"CAN","Canada","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.38,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.629,,
"CAN","Canada","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"CZE","Czech Republic","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.291,,
"CZE","Czech Republic","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.763,,
"CZE","Czech Republic","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.072,,
"CZE","Czech Republic","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.046,,
"CZE","Czech Republic","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.014,,
"CZE","Czech Republic","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.011,,
"CZE","Czech Republic","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.884,,
"CZE","Czech Republic","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.895,,
"CZE","Czech Republic","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.161,,
"CZE","Czech Republic","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.06,,
"CZE","Czech Republic","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",9.458,,
"DNK","Denmark","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.038,,
"DNK","Denmark","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.762,,
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.213,,
"DNK","Denmark","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.319,,
"DNK","Denmark","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"z","Not applicable"
"DNK","Denmark","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"DNK","Denmark","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"DNK","Denmark","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.243,,
"DNK","Denmark","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"DNK","Denmark","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.319,,
"DNK","Denmark","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"FIN","Finland","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.911,,
"FIN","Finland","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.355,,
"FIN","Finland","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.877,,
"FIN","Finland","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.737,"w","Includes data from another category"
"FIN","Finland","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"x","Data included in another category"
"FIN","Finland","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"z","Not applicable"
"FIN","Finland","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.438,,
"FIN","Finland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.438,,
"FIN","Finland","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.411,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.737,,
"FIN","Finland","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",12.318,,
"FRA","France","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.228,,
"FRA","France","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.994,,
"FRA","France","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.178,,
"FRA","France","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.04,,
"FRA","France","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.036,,
"FRA","France","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.501,,
"FRA","France","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.682,,
"FRA","France","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.184,,
"FRA","France","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.474,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.077,,
"FRA","France","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",9.66,,
"DEU","Germany","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.532,,
"DEU","Germany","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.425,,
"DEU","Germany","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.761,,
"DEU","Germany","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.914,,
"DEU","Germany","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.375,,
"DEU","Germany","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0,,
"DEU","Germany","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.961,,
"DEU","Germany","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.962,,
"DEU","Germany","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.026,,
"DEU","Germany","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.288,,
"DEU","Germany","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",11.139,,
"GRC","Greece","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"GRC","Greece","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"HUN","Hungary","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.653,,
"HUN","Hungary","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.191,,
"HUN","Hungary","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.205,,
"HUN","Hungary","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.861,,
"HUN","Hungary","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.509,,
"HUN","Hungary","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.073,,
"HUN","Hungary","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.49,,
"HUN","Hungary","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.564,,
"HUN","Hungary","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",1.268,,
"HUN","Hungary","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.37,,
"HUN","Hungary","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",9.506,,
"ISL","Iceland","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.403,,
"ISL","Iceland","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",5.093,,
"ISL","Iceland","L2","Lower secondary education (ISCED2011 level 2)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.375,,
"ISL","Iceland","L3","Upper secondary education (ISCED2011 level 3)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.481,,
"ISL","Iceland","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.117,,
"ISL","Iceland","L5","Short-cycle tertiary education (ISCED2011 level 5)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.054,,
"ISL","Iceland","L6T8","ISCED2011 levels 6 to 8","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.247,,
"ISL","Iceland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",3.301,,
"ISL","Iceland","L5T8_NORD","All tertiary excluding R&D activities","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",,"M","Missing value; data cannot exist"
"ISL","Iceland","L3T4","Upper secondary and post-secondary non-tertiary education","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",2.598,,
"ISL","Iceland","T","All ISCED levels","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",17.554,,
"IRL","Ireland","L0","Early childhood education  (ISCED2011 level 0)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",0.267,,
"IRL","Ireland","L1","Primary education (ISCED2011 level 1)","FIN_EDU_T_EXP","Public expenditure on education as percentage of total government expenditure","T","All expenditure types","S13","General government","T","All sectors","2014","2014",4.79,,
